review,talks_about
"4.3 love wine. although last vintage sourced fruit non estate vineyards. gives much fruit characteristics estate vineyards. 2019 on, mineral driven. prefer fruit one, buy 2018s can! see french oak fermentation, 18 new. 6 months lees. fresh acidity med body, sumptuous mouthfeel. guava, peach, spicy pear, lemon zest, chalk. delicious.",taste
"peaches tropical fruit. oak butter, like chardonnay reason. otherwise, concentrated decent body",taste
"4.3. good 2018 still best sauvignon blanc usa. tropical fruit, caramelized apple, grass. well done!",taste
"fruit, intense honey initially, buttery citrusy fruitnectar emerging middledry crisplight bodiedamazing wine",taste
"yum. cantaloupe, guava, pineapple, lavender honey, elderflower, baking yeast, cream. medium bodied nice oily texture high acidity. long finish. little bit heat 14. nice.",food combinations
"aromas flavors guava, pineapple, candied fruit exotic spices. 100 oak extremely well integrated. wife took half bottle business trip.",food combinations
new fish last night monchong keeping fish count. . shrimp bamboo big merry edwards fan menu. yes please. big style sauvignon blanc barrel fermented richness creaminess lovely coconut rice lots tropical nuances guava mango citrus focus. light sprinkling baking spices. nice thick white match array food flavours. age still treat early. mahalo,food combinations
"91pts. 95ws wine spectator smoking ? fermented barrel bottanage using special clone sb smooth. rather intense flavors pineapple, marmalade honeysuckle honey melon medium plus acid touch residual sugar good amount oak dairy brioche good finish amazing",taste
"stone fruit, melon, restrained citrus, oak cream notes. fuller body expressions grape. interesting drinkable.",taste
"one finest sav blanc hv tasted . balanced acidity , fruity balanced sweetness",taste
"peach, butter, cream, grass. herbaceous savy bs ive recently oak influence definitely cool spin grape.",food combinations
"perfect. nose, first taste, like fairy dust blown face.balanced acids floral notes, gorgeous color. bull bear wa.glides palate.",taste
outstanding california sb. medium body medium plus acidity. outstanding flavors pear melon mango tangerine lemon grapefruit cream butter grass saline minerality,taste
floral scents. good fruit flavors balance minerals leave slight pinch cheek swallow.,other
"approaching condrieu levels elegance combined approachability. super fruity, super delicious, super super. tropical like new zealand touches oak california cant resist. almost certainly rs still dry refreshing expressive. beautiful wine. peach citrus honey minerals.",taste
"unlike sauvignon blanc ""we use specific mix clones twothirds shenandoah clone 1 onethird sauvignon musqu results wine brimming floral tropical fruit aromatics citrusy, juicy core. barrel fermentation twiceweekly lees stirring help us create characteristic creamy texture rich body"". dry, medium medium acidity medium full body 14 abv. complex palate, creamy tropical fruit pineapple continued",taste
"despite mentions pear, mostly get melon pear notes throughout, bit buttery taste smooth finish end. fairly long flavor profile. really tasty wine, would buy again. worth price.",value for money
"really good wine. worth money, oak, gooseberry, starfruit, pear, white flowers, cat pee, pineapple, butter. complex. im sauv blanc guy oak malo like aromatic white burgundy.",value for money
"pale golden color, nice long thin legs aromas peach, melon, guava, pineapple, honeysuckle grass nose flavors pear, grapefruit, apple, lime zest, cream minerals palate kiss almond offdry, medium body, moderate acidity, medium tangy finish smooth yet complex sb, crisp refreshing slightest hint oak, amazingly delicious great mouthfeel, one best sbs ive had.",taste
lovely complex expressive californian sauvignon blanc citrus oak pear tropical peach melon cream butter grapefruit lemon pineapple vanilla minerals apple honey stone green apple honeysuckle stone fruit apricot lime grass mango guava tangerine straw white peach toast nectarine passion fruit chard banana caramel honeydew melon orange asian pear cantaloupe papaya hay meyer lemon lemon curd kiwi pepper,taste
"soft elegant low acidity. citrus notes layered butter oak. long, delicious finish. much enjoyed wine, sb less half price good.",value for money
"deserving reputation. pale lemon hue medium nose vanilla, jasmine apricot. heidi von der mehden overseen things since merry retired decision barrelferment adds lush complexity think gets overlooked sauv lovers. acidity mediumhigh, softer one might expect creamy tones often fund chardonnays. vanilla pallette along crisp minerals tart pear end. pricey? maybe, worth it. unique wine.",taste
want give 5 stars holy cow incredible wine. beautiful mouthfeel fruit harmonious. comes offdry even though plus me. highly highly recommend go try beauty!,taste
"pale straw color. tropical fruit nose. crisp creamy flavors mango, peach, pineapple, notes lemonlime zest. medium acidity paired salmon sushi appon point!",food combinations
"pnp. intense golden color. coconut cream pie, lemon rind, subtle pear. dry creamy palate. soft, persistent acidity.",taste
"fantastic. much depth complexity sbs around traps, still staying fresh, bright fruit forward. real winner",taste
"dry, crisp sauvignon blanc favorite producer. baked apple, floral, hints oak, long supple finish. enjoyed seafood lunch",taste
favorite sauvignon blanc! beautiful tropical beach glass... hints pineapple maybe tangerine blossoms. delicious!,taste
beautiful golden color nose lemon grass pine needles vanilla. well balanced body taste consistent nose.,taste
"crisp, bright acidity limestone cut grass. finish stone fruits, peach pear, goes on. wife's favorite sb.",taste
"stunning bouquet melon, tropical fruit pear! fresh spice subtle citrus tongue! bright acidic finish! instant favorite!",taste
"fascinating wine. get honeyed peach tropical fruits, bit minerals lime. lovely rich body. top class sb, sure.",taste
fresh spicy right front. long layered end. rich baked apple pineapple peach citrus. finishing clean acidic!,food combinations
unlike sauvignon blanc ive tasted im general fan sav blanc. richness bit sweetness. standout. tasted winery 2023,other
amazing wine. fruity creamy nature grape takes palate first sip. gorgeous white.,taste
quaffable! oaked sb somewhere btwn sancerre napa chard.,food combinations
delicious sauvignon blanc outstanding oak pear peach melon butter fantastic!,taste
"delicious. citrus nose. flowers soft minerals first sip. goes little flat end, overall excellent. see highly reviewed.",taste
"good remember. barrel fermented sav blanc. lovely palate banana, peach, orange blossom, lemon, vanilla hint honey. medium bodied palate adds beautiful toasted oak spice notes. unique complex sb always delivers!",taste
beautiful bright wine. light blond almost clear color. smeels kettle corn crisp green. sweet floral flavors. quick finish clean effortless. ripe sweet citrus ends nice supple ending.,taste
best sauvignon blanc ever had. hint oak lot pear nuttiness. fruity complex. lot flavors. nice heavy sauce buttery fish. absolutely get again. b passed up.,taste
love merry's pinot's add fabulous sav blanc list summer go wines. light oak infusion wonderful touch really takes wine new level. drank bouchon's yountville perfect pairing grilled swordfish dish. top marks merry another wonderful masterpiece.,food combinations
"lovely somewhat overpriced sauvignon blanc. vibrant wine delicate floral fragrance jasmine, honeysuckle, fruit blossoms, along orange lime zest. palate, fruit flavors donate citrus stone fruit, including white peach, nectarine, pink apple, pear. complexity, notes fresh sweet bread, hazelnut, dried flowers. long finish opens notes grapefruit. nice minerality, acidity. elegant overall. pair salads, fresh dishes, lite fare.",taste
"amazing sauv blanc. really different. tropical feuits nd melon heavy front bit musty barnyard thing lemon grass. long lingering finish medium plus acid.scott white, thanks sharing.",food combinations
"usually prefer sauvignon blanc, wine exceptional! pale yellow color light tears. nose tropical citrus fruits, including pineapple lemon, incredible floral element. ripe citrus fruits palate, alongside pear light mineral. wine wellbalanced, flavors acidity delectable unison, offers medium finish.",taste
"amazing sb. something nz sauvignon blanc californian. nose beautiful herbaceous aromas. palate smooth velvety oak, butter lovely tastes. surprising wine!",taste
"absolutely excellent sauvignon blanc! wine crisp, straw color. nose extremely effervescent notes pineapple, citrus, tropical fruits. moderate acidity present. taste quite fresh, reminiscent warm summer afternoon beach santa monica. see lots citrus fruits, peaches, pineapple notes. medium bodied wine nice finish. definitely recommend!",taste
"tastes like big napa oaked chardonnay. peach yogurt, apricot, butter, saline. bright acidity integrates nicely creamy tree fruits dominate. palemedium gold. reminds zd chardonnay.",taste
"straw colored. full, ripe, complex tropical notes melon pineapple dominating white citrus. rounded floral notes honeysuckle pleasant oak influence. beautiful wine.",taste
"happy international sauvignon blanc day!!fruity juicy, tropical nose, medium bodied medium acidity, 14.1 abv. pineapple, key line, peach vanilla notes. big sb fan one could drink night long! paired well jumbo lump crab cakes, roasted yukon gold potatoes grilled asparagus. yum yum.",food combinations
beautifully unique sauv blanc grapefruit citrus honeysuckle nose accented great acidity. rounded feel smoothness nz sauv blanc traditional sancere. soft fruit makes pleasure drink!,taste
"bright delicate aromas green grass, grapefruit, melon herbs. palate medium bodied balanced notes sweet tropical fruits crisp herbal, citrus acidity. even three years old, white still drinking beautifully! cellarfriendly sauvignon blanc sure!",taste
"pour liquid gold nose lovely oak smoothed melon whiff freshcut flowers. opening closing notes remarkably smooth. size bit butter here, go poultry fish accompaniment. quality undeniable.",taste
"pale straw colored sauvignon blanc merry edwards opens faint banana delicate cantaloupe bouquet. wine full bodied, balanced, round rich sauvignon blanc. flavors mild vanilla cream soda blend hint lime, melon, honey. finish dry fades away nicely. 92 pts.",taste
"freshly cut grass attenuated pleasant mix kiwi, lime tarragon. medium bodied expression fruits palate included limestone, lemon oil, white peaches elderflower. lovely aperitif sip sunny day sitting patio. savour subtle flavors let aromas speak you. felt transported wine green bean asparagus salad almond. wine youd quaff food heavy sauce. 93pts",food combinations
"drank mother's day. light yellow straw color. nose peach, pear green apple mineral notes. tastes green apple, pear peach. refreshing tartness acidity. buttery finish mouthfeel like california chardonnay. wine opens develops honey notes. nice wine consistent excellent producer. currently favorite sauvignon blanc.",taste
"might best sauv blanc date. instantclassic nectarine, apple lemon foundation gripping minerality traces vanilla. elegant dare say graceful...... bring warm weather, lobster rolls evenings firepit.",food combinations
"succulent juicy , sweet, fresh baby pineapple, lime, papaya candied pink grapefruit peel flavors sing purity focus, set supple frame featuring fresh acidity weaves out. intensity shows effortlessness elegance!",taste
ive never winery tasting end sauvignon blanc case works zero citrus ample pear peach makes non traditional dessert wine. amazing achievement 6 months used oak create unique experience,other
"may best sb tasted till date. someone dislikes sb general, wine game changer. perfect acidity. excessive grapefruit passion fruit aroma overpowering. bit density it, giving bit chunk. finishes briny mineral touch. poolside sipper ! pairs beautifully greasy foods.",taste
"aromatic, ripe stone fruits dense tropical essences nose. dry, palate rich fruity, dominated nectarines, peaches, mandarines grassiness. slightly oaked taste, well balanced high acidity ripeness. finish dry citric, makes great complement sea seafood. note caution, bottle goes fast.",taste
"fresh fruity flavors pineapple tree fruits. golden color featuring amazing aromas. compares best new zealand sb there. appreciate medium bodied,crisp acidity oaky undertones",taste
"aromas pear, melon, grapefruit, mango, vanilla. creamy mouthfeel, flavors stone fruit, lemon, pineapple, mineral finish. beautiful sauvignon blanc! 60 sauvignon blanc, 40 sauvignon musqu.",taste
"white wine fruity pale yellow color. easy drink . aromas ripe melons, minerals, peaches. palate complex fruity punch apricots, nectarines, peaches.",taste
"2018 better another year age bottle. best bottles always least 34 years old. plan cellar bottles try 4,5 6 years bottle. try sbs, fairly certain merry edwards improve years basic sb.",other
fantasic wine ah te pizza! ais91 paired puros de hostos comendador box pressed toro 2020. harmonious superbly balanced. citrus peach grapefruit melon minerals green apple stone wild iris salud enjoy!,taste
"thank beth!! generous gift boy wonderful person met vivino. one fav grapes different style. shiny yellow golden hues. heavier style used to. med body 14 vol. scents lemon, pineapple papaya. really juicy mouthfeel exotic touch. tangy acidity time nearly creamy texture. long limey fresh finish herbal notes. stunner wine pinot queen",other
"5 vineyards 6 months oak sur lie absolutely killer. bright, ripe fruits green apple, pear, grapefruit, stone fruit, minerality, creamy mouthfeel thanks sur lie, beautiful long finish. best californian sauvignon blanc tasted. tasting sample",taste
"tied mark david's transitus best sauv blancs had. managed take varietal generally regard simple limited variation attempts win crowd sweetness, made sleek, finessed version tamed fruit made serious wine. reminds new serious white zin trend, could get used sauv blancs made like this.",taste
"extremely well composed white californian wine. nice fragrance jasmine, honeysuckle. palate dominated citrus, stone fruits minerality. exceptional fresh delicate wine. introduced wine danish restaurant. impossible get brand norway sweden state monopoly countries. anybody knows get hold wine please let know. wine got 93 points wine spectator. highly recommended cheers vivino friends",taste
"merry edwards booth highlight wine show. six pinot noirs, chardonnay, outstanding sauvignon blanc. addition 30 sauvignon musqu gave wine completely new dimension, notes honeysuckle, cantaloupe, ginger, white peach. wet gravel minerality gave solid structure balance forward fruit. far away unique sb ever had. worth every penny!",value for money
"last 2015. equally good! great sb wonderful balance minerality, citrusy fruit forward taste acidity. rrv never disappoints. drives feel france anything else produced usa.",taste
"unusually rich fullbodied sauv blanc russian river valley disappoint. high alcohol 14.1 trace burn. moderate oak, smooth vanilla, caramelized pear. very, good terrific value.",value for money
"one favorite sauvignon blanc's. nose, citrus slight floral aroma. hits right away, plenty peach, apricot pear flavors. nice touch lemon lemon fan. nice dry finish definitely touch acidic fruits. good sb!!",taste
"sauvignon blancs dry, boring, uneventfulnot one! first wine grape ive enjoyed while.",taste
"light golden color nice nose soft, smooth fruity palate, accenting food flavors recalling sometimes cool sunny slopes russian river valley. love sauvignon blanc genius wine maker merry edwards.",taste
"flashy high great sauvignon blanc!!! low reflex almost light yellow clear. odors floral discreet perfume. start gives nice tingle toungue even though acidity high. smooth going elegant aftertaste hidden citricity remaining mouthtaste. fresh crisp. plus also price, fair.",taste
"pronounced floral bouquet. glass opens taste sweet cherry, followed melon accented lemon. finish slightly sweet, accented honey. strong acidity minerality throughout. outstanding sauvignon blanc!",food combinations
"2017 sauvignon blanc lively tropical nose. pineapple candy, ripe nectarine white peach. little yeast influence time lees giving little richness rather imparting taste. great balance palate. soft mango fruit rounded texture. excellent 92pts sure ive ever given new world sauv blanc higher score.",taste
"visiting one favorite wineries california mary edwards sauvignon blanc 2014. 100 sauvignon blanco sonoma county wine scents oak, pineapple, peach, persimmon. flavors oak, pineapple, vanilla, persimmon. everytime visit winery, buy case wine. also keep library 2014 present day. recommendation? buy it!",taste
"really excellent sb lived hype. distinctively plush rounded mouthfeel outstanding, doesnt sacrifice typical sb crispness. wouldnt go far say taste peach stone fruit, beautiful melon aspect tames citrus. easily best californian sb ive ever pleases traditional sb enthusiasts chardonnay fans prefer body.",taste
"big, bold almost chardonnay, citrusy finish. grapefruit, possibly pineapple flavors give way brashness dryness screams chard, begs drink more, gone. years come, plenty ready now. picked vineyard wish more.",taste
"nose apple cider, honey, light vanilla. palette balanced perfectly, tongue coating. lemon, honey, oak, vanilla. non sav blanc lover, best sav blanc ive ever had.",taste
"im rookie sauv blanc, however like this, im onboard.",taste
crowd pleaser. peach. citrus. medium body. dryer side.,taste
fantastic. soon moms favorite wine. doesnt know yet.,taste
best sauvignon blanc california ever tasted,taste
cream peach man,food combinations
"floral, slightly sweet, goes well fish",taste
"great sauvignon blanc nose, typical grassy acid afterbite.",taste
great summer wine. crisp overly fruity grassy,taste
unique smooth,other
yummy floral musque clone sauce blanc unique fun drink cheese,food combinations
"super fruit. peaches, strawberries acidious",taste
beautiful sav blanc. distinguished palate,taste
always fantastic cali sb.,value for money
"really great. fruity, clean, applet, crisp.",taste
"clean, crisp dry! ultimate fish, chicken white pasta pour!",food combinations
"agree great vine, s. b. authentic .",taste
"thicker, smoked citrus, bruised citrus, tropical, green apple, pineapple",food combinations
"nice, floral nose, light crisp slight pear oak",taste
"great solid sauv, super zesty",value for money
pale yellow opaque rim. smells grapefruit. full body sauvignon blanc. taste apricot back nice finish.,taste
"4.3 lychee, guava, tropical fruits. smooth vanilla, acidic, aggressively so.",taste
"aromas stone fruit, tangerine. smooth drinkable. would definitely order again.",taste
well ballanced right seafood bring magic,food combinations
amazing gentle sauvignon! nothing dislike!,taste
drinking amazing right now. wow!,taste
doctor ordered 108 degree day! outstanding sauv!,taste
crisp layered floral notes light fruit. multifaceted heavy.,taste
ins great! quite different.,other
really beautiful wine peach grapefruit nice minerals stone fruit finish.,taste
ive marlborough nz sauv blanc guy still learning good california sauv blancs. say one excellent!,taste
tropical fruits oak nose palate. lush long finish,taste
"peach, pineapple, pear, floral, fantastic spicy food.",food combinations
merry makes mean sauv blanc,food combinations
"stunning. full bodied grassy nose palette loaded melon, grapefruit, lime, creamy pear ripe peach long crisp finish.",taste
amazing. floral. warm citrus mouth v,other
"orange blossom, clean slight minerality finish.",taste
"pear melon slight oak finish, good mouth feel sav blanc.",taste
"beautiful full mouth feel, long finish",taste
rivals love marlborough nz sauvignon blanc. nose peach. honeydew melon peach low acidity. excellent late night treat.,taste
peach pear nice minerality. great finish,taste
"maybe best sb ever had. pears, melon, hints apple lemon blend together layers flavor keep coming. terrific.",taste
"white gold color nose yellow flowers palate smooth, buttery honeydew melon long finish. surprisingly ungrassy.",taste
"beautiful roundness, buttery, slight fruit slight sweetness bring white wine together delicious, fruity finish.",taste
"love this! perfect summer day pool! nice mouthfeel, slight creaminess. tropical notes beautiful caribbean beach.",taste
"big round, tropical fruits, melon, pear, super balanced great acidity, loved it!",taste
"excellent great example sauvignon blanc be. fruity, elegant crisp. consistent top performer, marry down.",taste
overpowering. blanc fan general magnificent.,other
wow. delicious. smooth rich brightness savignon blanc,taste
"excellent whiterich, overdone, fruity balanced mineral, distinctive.",taste
omg best sauvignon blanc believe ever had. quest find more.,taste
"enjoyed wine fish oriented small plates meal easterly restaurant st thomas 21922. absolutely delicious. well balanced, overly minerally likely, flinty great. love it.",taste
buttery yet silky smooth vanilla spice,taste
"unusual, yummy sauvignon blanc incredible oakedaged fruit flavors. best fresh bit ambient temperature. must try, least compare to. drink regularly afford it.",other
"interesting delicious sauv blanc. brightness acid sauv blanc typical notes like melon peach fullness opulence refined chardonnay. oak comes undertone, confection. would buy case could find it!",taste
"blind, thought viognier. floral, ripe, creamy, round texture rarely see sauvignon blanc. also lower acidity would expect sauv blanc, enough mostly balance opulent fruit. isnt typical means, fun complex. drink",other
"already back sauvignon blanc big whites generally. enjoying like normally good red, gf likes too. so, rich flavored. must chill, tho. pricey, treat. pushing 5 book.",taste
"really something. favourite california white thus far, far. crisp sav blanc im used nz wines, much richer. bit sweet, complex flavour goes twists turns leaving nice touch sour bitter good way.",taste
"light, refreshing yes delicious",taste
lovely. french laundry tasting menu,taste
may perfect sauv blanc. nose light lemony medium body palate. notes citrus upfront finish melon rind. wellbalanced acidity dryness.,taste
best sav blanc market,taste
unreal always. loved it. well balanced dynamic.,other
cold spring wine store. amazing stand alone full bodied alcohol forward saudi gnome blanc goes great lemon tarragon chicken. yes!,taste
"great floral notes. tropical fruit full bodied sb, yet right amount acid balance",taste
"liquid cocaine. white cherries, orange blossoms. creamy nectarines. wow.",food combinations
"bright, creamy, smooth. notes pear. slightly crisp. delicious.",taste
buttery delicious. citrus melon flavor. heat 14.1 alc,taste
"full bodied citrus fruit, rich honey oak like chardonnay. delicious",taste
excellent blanc. delightfully refreshing wine. drank 2018 bottle 2020.,taste
"nose peach, apricot cotton candy, mouth mineral, sea salt, pear",food combinations
amazed well ages. favorite us sauv blanc,taste
"nice wine. tasty, calm elegant ways",taste
rich fruit. wonderful nose. 93,other
"one time favorites. medium body, great mouthfeel, citrus, wet stone. one favs.",taste
crimson wine group dinner,taste
"pear, mellon, good acid. great pairing sushi.",food combinations
great. muted due bottle aging suppose.,other
fantastik sauvignon 93 point,taste
"lemon stone fruit nose smooth well balanced, great acid.",food combinations
wow! wow! wow! oaks sauvignon blanc? love,taste
real treat price citrus tang great next 15 years,value for money
flight home moscow perfect!,value for money
drinkable elegant.,taste
oaked sav blanc. unique enjoyable,taste
"barrel fermented neutral oak weekly battonage creamy, floral, fruity, lime, full body good thai food spicy food.",taste
great refreshing wine pear melon flavors,taste
excellent white balanced acidity.,value for money
good sauv b gets. bold ripe fruit.,value for money
rich. balanced.,value for money
"ooohhhh yum. dangerously good. crisp, citrusy.",taste
wine still drinking great! paired well northern thai spices too!,food combinations
"one yummiest crisp whites ive tried. thought giving 4.5, decided naked people label make perfect 5.0",taste
"beautifully put together, creamy lush cantaloupe green fruit refreshing acidity ebullient, tropics meets english garden",food combinations
"fantastic, unique alltime favorite",other
nice balance yellow aromas,other
another excellent vintage benchmark sauvignon blanc.,taste
"perfectly balanced. smooth, ripe fruit character acid throughout. lemon, lime, ripe apple.",taste
"elegant nose light veggie hues, nicely zestypalate.",taste
"different sauvignon blanc, rich, nice oak, peach, smooth.",other
absolutely amazing. smooth almost detectable acidity!,other
aromas rich peachy fruits floral notes. creamy texture palate nice acidity. exotic style sauvignon blanc russian river!,taste
"visiting winery earlier year, decided pop bottle lovely juice reminisce. ahhh...just pure tasty memory.",taste
"undertone oak, lemon citrus, bit sweetness great wine summer, light fresh. better enjoy meal. lack complexity",taste
"terrific sav blanc. nice acidity great mouth feel. complex plenty fruit, tangerine, grapefruit melon. floral nose. highly recommend.",value for money
"perfect sauvignon blanc. extremely floral nose. full peach, apricot, pineapple. right amount citrus. nice minerality. enjoyed modern.",taste
awhile since sav blanc juice wonderful. love light sweet notes apple peach well good balance citrusacidity,taste
"sb delicious. even though like crisper acidic style one class. little creamy smooth, oak notes mango citrus.",taste
"poached pear, green apple nose, full body long finish. great balance. so, smooth. delicious wine. great bodyyou tell rested lees.",taste
"day had! dive 250 happened best dive first 15 dives, dive 252 bought pod 19 wild dolphins us! omg glad one bottle wine celebrate with! saw 7 seahorses trip, seahorse prop time! time dance aromas lemon, melon, pineapple, minerals. palate delicious! adds white flowers, salinity, happiness. dry, medium body, crisp acidity. 14 alcohol exhausted",taste
"pale lemon color citrus aromas peach medium body tropical fruit slight creaminess palate long finish. incredibly smooth delicious wine, fairly complex sauvignon blanc.",taste
"grassy, bit dusty, stony, lime, slightly exotic, subtle vanilla touch, algae. juicy, moderate acidity, crisp, slightly creamy. exotic fruit, herbaceous green notes, apple. rich structural finish, intense, juicy concentrated finale. length great.",taste
"light straw. white flowers, pineapple quince, green apple lemon curd shells . full bodied, dry, acidity, silky smooth, creamy, full mlf, 18 new oak, 14.8 abv, balanced delicious. 10 k cases made.",food combinations
"great sauvignon blanc, drunk magnum couple years. built age like bdx blanc, large format couple years definitely added layers. lots tropical notes, guava, pineapple, elderflower, orange, orange peel, pineapple, key lime, little coconut palate. stone minerality too, little nutty cashew? note.",taste
"merry edwards 2020 sauvignon blanc. done french oak yeast stir every week 10 weeks. light straw color nose honey, honeydew melon, casaba melon floral. drink features notes honeydew, casaba melon, mango, pear, peach, tropical, pink grapefruit, pineapple vanilla french oak finish. beautiful, sb pair well asian food, seafood chicken. great standalone well. since good sb. 4.5 stars. david bowie alladin sane",food combinations
"dry mildly acidic wine notes citrus, tropical fruit, light vanilla nose. palate notes white peach mango wonderful mineral undertones. one favorite white wines",taste
"clear pale lemon color medium intensity notes grapefruit, candied tangerine peel, lemon heads. wine dry medium plus acid, medium body, medium minus alcohol, medium finish. 90100",taste
solid sav blanc. citrus foremost oak influence evident. pears peaches primarily creamy melon tropical grapefruity zest finish.,taste
little young right delicious. high acidity beautiful color taste. heavier slight creaminess. can't wait revisit one years.,taste
"best sauvignon blanc long time. feels quite sweet tree fruit notes pear, apple nice citrusy finish. well balanced smooth, goes really easy!",taste
"sauvignon blanc tasting tokyo everyone second favorite. softer palate others melon palate nice acidity great, somewhat sweet, finish",taste
"second favorite sauvignon blanc ever. beautiful lemon citrus notes along honey perfect amount acidity backbone! dry all, juicy right end.",taste
"truly excellent californian sb. subtle honey, peach, lemon, nice bit salinity minerality.",taste
"light plus bodied pale yellow white flavors citrus, peach, apple, noticeable minerality, slight cream malolactic fermentation, subtle oak flavors.",taste
"hate sauvignon blanc. ok good. loads pineapple, something little stinky. sour tropical slightly weird. like dance teacher gilmore girls.",taste
"pure juicy fruit hint creaminess citrus backbone. full disclosure consistently favorite sb. whenever find menu, order never disappointed.",taste
pale green rim mediumlegs strong aroma grapefruit tropical fruit grass strong flavor grapefruit lime mandarin orange earth medium body mediumacid long duration excellent salmon,taste
"best sav blanc ever! sb fan amazing. spendy, amazingnot overly citrus, vanilla.",taste
"big number fantastic sb.. consumed chicago, going great pinot none left stock tonight.. anyway, beautiful peach pear, extended white fruit layers.. ..",taste
"smooth, minerality, peach, apricot. delicious! definitely buy again!",taste
"95 far california sb concerned, one try. benchmark sb without doubt. lightly oaked, nicely textured body, right acidity. put list!",value for money
really crisp wonderful. peach pear citrus,taste
forget grass cat urine often fill nose sauvignon blanc. something different enterily wonderful.,other
"incredible white wine! dont drink much white bottle welcoming bright, hints green apple. 150229936james beecham think youd love russian river white wine!",taste
"unleashed tropical thiol aromatics smells amazing. flavors well rounded aroma would suggest. smells like acid bomb, wine impeccable balance.",other
great wine citrus oak tropical pear ohh sweet citrus finish 93pts,taste
"pretty good, balanced, tropical fruits, round, oak there, good length complexity. well made cali sauv.",taste
perfect vintage holds florality complexity. seek find balance acidity taste pallet easily forgotten,taste
"new vintage. light peach, butter, pear, melon vanilla. still favourite sauvignon blanc.",food combinations
"merry edwards clone sauvignon blanc, imparts unique palate wine. there's considerable mouthfeel. tropical fruit florals nose. modest acid finish.",taste
"grapefruit, vanilla, tropical fruit, citrus, smooth oak. special unique sauvignon blanc.",taste
"pear, pineapple, lemon apricot, white flowers stone fruit. great minerality, creamy texture nice clean finish. buttery sauvignon. excellent",food combinations
great fruit. citrus peach pear tropical melon cream,taste
"truly outstanding sb. nantucket. deep mellon, pineapple, complex honey flavors medium color, medium plus complexity.",taste
"perfectly balanced tropical fruit, minerality hint sweetness balance acidity. almost rieslinglike, far body sauv blanc. outstanding.",taste
"outstanding ca sauvignon blanc. fresh, nice minerality, bright fruit, refreshing acidity, clean finish.",taste
pretty good sauv blanc. crisp acidic would imagined. tart palate delicate body!,taste
"outstanding sauv blanc rocked us. full bodied, wonderful nose. definite splurge wow. can, treat yourself.",taste
benchmark sauvignon blanc! perfect condition drink. classic california styled without green bell pepper asparagus notes. delicious oak touch hint vanilla.,value for money
pear lemon flint,taste
"told merry edwards hated making wine. bad clearly genius hate doesnt show. might well balanced sauvignon blanc ive ever had, notes ripe peach, melon guava. lemon peel back. yum!",taste
